x,y,z
1.0,1.0,1.0
1.0487474842527391,1.524096707568219,0.9731175133902338
1.1868850188223223,2.0885262443344654,0.9617602553912217
1.4092757421494977,2.738938682408369,0.9726841095289868
1.7212382154179275,3.5174694415848355,1.0171966792084757
2.133162041207914,4.471211587057763,1.1142794774719267
2.6632477812839594,5.650577102228884,1.2925168191720358
3.3370865385184505,7.110549028628654,1.5963703408341072
4.18441384129872,8.909868262120941,2.098923746919821
5.233929409024492,11.079944064006902,2.9135924957426482
6.53430740439235,13.700661919025006,4.192511732927025
8.121794448171011,16.770016837910177,6.144437698830339
10.0006607349986,20.12003769290422,9.048742904389258
12.14310189355119,23.41696714879685,13.254798564336038
14.451613806795972,26.101599103731715,19.007311104503366
16.70002273100129,27.234791171302668,26.18301050001916
18.534376269769453,25.924746372361387,34.053877956553244
19.530673713261503,21.664408369844594,41.23474874863379
19.336528547071488,15.27950477617179,46.1113062368662
17.906416461892224,7.9490438852963665,47.9350034067673
15.45546456335664,1.275248591356192,46.9318216713504
12.394613880081565,-3.634945546743566,44.123474040849
9.179210144868378,-6.662696083145434,40.735227757342514
6.144058758584378,-8.21244950019966,37.50239376185257
3.4751668199315935,-8.822617413643048,34.76258255172876
1.2319829488827634,-8.912661991279426,32.55754611432967
-0.595987482573122,-8.761839549584215,30.820276412393575
-2.0560203615793675,-8.536509839812368,29.44870974646039
-3.211321509932305,-8.322741309794575,28.35528658837254
-4.120758889872348,-8.162622203207002,27.47412895958699
-4.843539639070487,-8.080039102397407,26.757946798265067
-5.431523857971635,-8.077704785774708,26.176124242240533
-5.9175197552481436,-8.149142448368819,25.714660177690345
-6.331196251535678,-8.286647260163189,25.363101075507075
-6.7015752943122155,-8.480143320246166,25.111570851296587
-7.0469898341920025,-8.716636429515265,24.95778647356519
-7.374772419491679,-8.983138819508508,24.90493063677541
-7.691301846365366,-9.26510801183817,24.952410676820747
-8.00184432396295,-9.545716761914386,25.095842225859766
-8.307712971872666,-9.808292229849078,25.329158377687204
-8.602662848295004,-10.03544328664313,25.647371838824785
-8.879426484101758,-10.209994109358465,26.0403499775899
-9.130592863591895,-10.317208280473883,26.491736787244655
-9.348607424491576,-10.34478878788503,26.978952885995895
-9.526050368067514,-10.283105224892218,27.47660341436213
-9.653213113344902,-10.132117240513832,27.958632293033816
-9.721161918813447,-9.899653295969605,28.396527203018362
-9.72552903692825,-9.596812689193333,28.76657591122199
-9.666549220942823,-9.237924492630956,29.049986140865883
-9.549059724909078,-8.840547553240544,29.232885571486168
-9.381313767605878,-8.426557595306651,29.307385238135478
-9.169906709391572,-8.022731433391685,29.274915942041055
-8.926400263482122,-7.6475097362137525,29.13807842902532
-8.663076781720303,-7.315827702908454,28.904665523824487
-8.39219349139259,-7.039971191166213,28.588379571414883
-8.125982495229154,-6.829576717232281,28.208832437012934
-7.8766441252718575,-6.691540122492821,27.79144838849666
-7.654639805122192,-6.621719401495661,27.35400009637939
-7.466696497270091,-6.6173105245367845,26.907262394065437
-7.3180935423889775,-6.6784811276701515,26.465379358677637
-7.212846123999281,-6.802283423870986,26.041969459581843
-7.15370526846842,-6.982654203035777,25.650125558386897
-7.142157845010814,-7.210414831982274,25.302414908944662
-7.178133610812997,-7.473821696966537,25.01051946048204
-7.2569355045603325,-7.769643062857541,24.78063930251449
-7.3774690125571905,-8.09410419803779,24.622159046238387
-7.538316340397562,-8.439418521518027,24.5440008108822
-7.735790326982549,-8.795867848640299,24.552439609432575
-7.9639344445203655,-9.151802391077952,24.651103348634347
-8.214522798526332,-9.493640756835644,24.84097282899052
-8.477254107221544,-9.806086665004733,25.12036191313904
-8.744538513364915,-10.07553401715093,25.483432189986207
-9.00611409915742,-10.282861497945126,25.91867801424204
-9.2501168398644,-10.411135921464265,26.410288655637643
-9.465041119883356,-10.448751653240882,26.938265140755068
-9.639739732743951,-10.389430610263105,27.478420253027288
-9.763423881108004,-10.232222260974641,28.00237853273822
-9.826529351002046,-9.98037058640222,28.47852007813732
-9.825299088430564,-9.64621938895172,28.87973587767509
-9.758807254225792,-9.255952483119275,29.185064747078282
-9.629700852498074,-8.834090378127609,29.380272736873145
-9.44443134027377,-8.402499419367267,29.458035950695546
-9.213254627495271,-7.980391788396618,29.41794054529098
-8.950231077020979,-7.584325502941855,29.266482730514554
-8.668978429548755,-7.232839225795189,29.018886009392663
-8.380959973857026,-6.9431947375548955,28.690633990184054
-8.09918332740247,-6.724198143371407,28.295772470722348
-7.8352516088713795,-6.580180544246617,27.85147513600067
-7.5993622161609355,-6.510999614350581,27.37804474114833
-7.400306826379199,-6.51203960102151,26.89891311143084
-7.244198591018456,-6.575940857686459,26.433454461469786
-7.13347766546895,-6.699382601503821,25.988331685541034
-7.070639487569231,-6.878896419552091,25.576312908729328
-7.056829734750705,-7.109528573407693,25.209284128265878
-7.091797630099171,-7.384861336984873,24.898002454423217
-7.173895942354821,-7.697012996535693,24.652096110515192
-7.2992840471461795,-8.037773959958857,24.479098488684734
-7.463587041170079,-8.401113623185452,24.38610090685169
-7.665527503808729,-8.777223838013565,24.38327111451803
-7.901380399644714,-9.154296737603271,24.47695363156663
-8.164663010339414,-9.518755183170693,24.6692950477871
-8.446134934633003,-9.855252763988005,24.95824402287577
-8.733798088344445,-10.146673797383428,25.337551286435712
-9.013630512030584,-10.374479735675928,25.796990801477072
-9.277083324574818,-10.522701073093113,26.32134029577701
-9.510442916501976,-10.576267655072215,26.884774603123297
-9.700225616341628,-10.525867519055216,27.459509302537075
-9.835633620200412,-10.36921933690307,28.017352905713395
-9.90855499176203,-10.111072414895698,28.529706857021218
-9.913563662287254,-9.763206693731988,28.96756553350344
-9.847751395822678,-9.345342176905081,29.303525650767085
-9.714230896434815,-8.886028320809453,29.52079509185124
-9.520622450964028,-8.413315859841468,29.611396883682005
-9.27698712209717,-7.952188491322758,29.5745685467668
-8.995825965016273,-7.524562641634008,29.416762084501944
-8.69208002739857,-7.149287466214947,29.151643983172637
-8.382407982683038,-6.8409722777434405,28.79993928298782
-8.080373582072244,-6.606279081731799,28.38269815621602
-7.797942843081197,-6.450503810775977,27.91708812661828
-7.545468417871537,-6.37488983783302,27.420995235228677
-7.331533568351183,-6.376198936140087,26.913262150366013
-7.162952166174327,-6.44671127921445,26.413688167633833
-7.044070804159623,-6.5760736669292434,25.940668966838995
-6.975222845805161,-6.761677812472113,25.502266495423648
-6.9576414354553435,-6.999754245865991,25.11005649742215
-6.991400981085684,-7.2848869779794745,24.7754001973032
-7.075110647248819,-7.610483916451226,24.50860039547039
-7.205914355074513,-7.968776865689977,24.31890146826223
-7.3790498340177155,-8.351447255220862,24.213572409055182
-7.589348837660559,-8.750246060707507,24.198734652875014
-7.834280191518657,-9.152217776748989,24.284241200421356
-8.108763510865526,-9.542656136675902,24.475165154927048
-8.404769245222862,-9.905456225457508,24.77110175650338
-8.711318678360554,-10.22311447970175,25.166168382140093
-9.014483928296672,-10.47672868765524,25.649004545705367
-9.298239306251741,-10.64619922013379,26.203195091675436
-9.552811664273754,-10.714967613003102,26.807450245213893
-9.76303688755497,-10.673245783311861,27.427832974040378
-9.915157157022726,-10.518078380703738,28.03047727035903
-9.999590743579647,-10.253622006318396,28.5839864025507
-10.01093200810364,-9.891145212791487,29.059432915172927
